datetime,open,high,low,close,volume
02-09-2016,0.623,0.66375,0.62,0.63725,425372560
02-10-2016,0.64125,0.65975,0.63225,0.63575,335799200
02-11-2016,0.6195,0.639,0.6195,0.6325,340145400
02-12-2016,0.6425,0.6445,0.61875,0.64325,340814680
02-16-2016,0.6525,0.67575,0.6505,0.67475,485351800
02-17-2016,0.68325,0.698,0.6805,0.6915,771466640
02-18-2016,0.74825,0.774375,0.7475,0.751,1068659560
02-19-2016,0.747,0.76775,0.74125,0.761,525629280
02-22-2016,0.772,0.79675,0.7705,0.788,449667880
02-23-2016,0.78175,0.7975,0.778,0.79,369378000
02-24-2016,0.78675,0.7966975,0.765,0.7955,336853440
02-25-2016,0.7985,0.80125,0.783,0.79725,349614680
02-26-2016,0.801,0.802905,0.784,0.792,361962920
02-29-2016,0.79025,0.8005,0.7835,0.784,323344720
03-01-2016,0.786,0.81875,0.78475,0.81875,348700480
03-02-2016,0.81425,0.8265,0.81275,0.8235,233837320
03-03-2016,0.8225,0.826,0.80525,0.81625,302003520
03-04-2016,0.8225,0.82325,0.8075,0.81375,175305360
03-07-2016,0.80925,0.81475,0.797875,0.8085,240219800
03-08-2016,0.80025,0.805,0.791125,0.79375,274939120
03-09-2016,0.80075,0.801875,0.783,0.79325,222789480
03-10-2016,0.798,0.8025,0.776,0.792,286085480
03-11-2016,0.80375,0.80575,0.79425,0.8055,277399440
03-14-2016,0.80175,0.81075,0.798,0.8075,190314720
03-15-2016,0.80325,0.8085,0.78925,0.8035,226216800
03-16-2016,0.7975,0.83025,0.79375,0.8275,363642720
03-17-2016,0.8245,0.8285,0.8093475,0.8205,353678360
03-18-2016,0.83025,0.85625,0.825,0.84525,545512080
03-21-2016,0.83775,0.848,0.82875,0.84775,337781560
03-22-2016,0.845,0.852125,0.83575,0.84625,242010640
03-23-2016,0.85,0.867,0.84625,0.86075,429006840
03-24-2016,0.853,0.8635,0.85025,0.862,244954160
03-28-2016,0.8605,0.8745,0.8595,0.87075,265388000
03-29-2016,0.867,0.88675,0.865,0.88475,261810640
03-30-2016,0.888,0.90625,0.8875,0.894,376698960
03-31-2016,0.898,0.9,0.88375,0.89075,379882080
04-01-2016,0.88525,0.90425,0.8785,0.90375,348292760
04-04-2016,0.91125,0.916,0.8915,0.895,393942040
04-05-2016,0.887,0.902,0.8835,0.89375,339568600
04-06-2016,0.8825,0.8955,0.86575,0.895,453375160
04-07-2016,0.88925,0.89725,0.882,0.88575,378105760
04-08-2016,0.893,0.89875,0.882625,0.8915,255934920
04-11-2016,0.89675,0.91175,0.894,0.897,387523920
04-12-2016,0.9,0.90125,0.8785,0.896,292763080
04-13-2016,0.9,0.91875,0.9,0.9185,350714440
04-14-2016,0.916,0.925,0.91225,0.921,416565240
04-15-2016,0.92075,0.9365,0.9178,0.92825,436970920
04-18-2016,0.9265,0.9265,0.91525,0.92425,307321760
04-19-2016,0.92775,0.9295,0.902,0.90775,309151080
04-20-2016,0.90625,0.91675,0.90525,0.91125,200177360
04-21-2016,0.9115,0.91575,0.90625,0.91025,178279560
04-22-2016,0.91325,0.9195,0.903625,0.90675,223500000
04-25-2016,0.907,0.91625,0.9045,0.91125,191990600
04-26-2016,0.91675,0.92725,0.908,0.912,214534560
04-27-2016,0.90975,0.93325,0.908075,0.93275,352394320
04-28-2016,0.927,0.9325,0.90275,0.905,381222040
04-29-2016,0.90125,0.90325,0.8785,0.88825,321902480
05-02-2016,0.89675,0.9055,0.8925,0.9,256076800
05-03-2016,0.88975,0.8935,0.881525,0.88925,224023400
05-04-2016,0.8785,0.87925,0.86,0.869,525762600
05-05-2016,0.87625,0.8845,0.86775,0.87425,246884520
05-06-2016,0.87275,0.885625,0.871,0.88325,183240000
05-09-2016,0.8855,0.88925,0.87475,0.882,333336440
05-10-2016,0.8875,0.9005,0.879,0.899,269677160
05-11-2016,0.90175,0.9115,0.89675,0.9015,328177640
